,display,address,x,y
169,인천대공원 목재문화체험장,인천광역시 남동구 장수동,126.7523229,37.4605574
170,이준선생묘,경기도 양주시 남면 신산리 253-1,126.9777130,37.9009650
171,모아뮤지엄,경기도 광주시 도척면 도웅리 산32-1,127.2899229,37.3395652
172,우림시장,서울특별시 관악구 신림동 637-1,126.9204516,37.4704308
173,부평역사박물관,인천광역시 부평구 삼산2동 451-1,126.7378240,37.5121372
174,남포동건어물도매시장,부산광역시 중구 남포동1가 61-1,129.0348163,35.0972728
175,짜장면박물관,인천광역시 중구 선린동 38-1,126.6182194,37.4748612
176,초연다구박물관,인천광역시 중구 송학동3가 5-38,126.6255832,37.4726587
177,올림픽공원세계평화의문,서울특별시 송파구 방이동,127.1154122,37.5183163
178,고려 공양왕릉,경기도 고양시 덕양구 원당동 산65-6,126.8390500,37.6800096
179,경기도박물관,경기도 용인시 기흥구 상갈동 85,127.1086791,37.2682803
180,후암재래시장,서울특별시 용산구 후암동 102-32,126.9760500,37.5504667
181,평화공원,부산광역시 남구 대연3동 677-1,129.1002000,35.1263083
182,동구릉경릉,경기도 구리시 인창동,127.1275048,37.6186148
183,평화시장,서울특별시 중구 을지로6가 17-48,127.0071438,37.5693839
184,소래습지생태공원,인천광역시 남동구 논현동 1-17,126.7475644,37.4134967
185,흥인지문,서울특별시 종로구 종로6가 69,127.0097904,37.5711344
186,고양향교,경기도 고양시 덕양구 고양동 306,126.8948504,37.7038271
187,한국만화박물관,경기도 부천시 상동 529-36,126.7421671,37.5085647
188,서삼릉,경기도 고양시 덕양구 원당동 201-99,126.8685668,37.6632650
189,남대문시장,서울특별시 중구 남창동 49-1,126.9776564,37.5593926
190,올림픽공원,서울특별시 송파구 방이동 88,127.1229590,37.5209340
191,신장전통시장,경기도 하남시 신장동 429-1,127.2063914,37.5380985
192,안양중초사지삼층석탑,경기도 안양시 만안구 석수동,126.9178554,37.4177544
193,디큐브아트센터,서울특별시 구로구 신도림동 692,126.8891862,37.5086467
194,겸재정선미술관,서울특별시 강서구 가양동 243-1,126.8384590,37.5722273
195,운남동근린공원,광주광역시 광산구 운남동,126.8164305,35.1711030
196,국립4.19민주묘지,서울특별시 강북구 수유동,127.0105014,37.6473433
197,부천상동시장,경기도 부천시 상동 334,126.7635250,37.4904513
